Timestamp,Source_IP,Destination_IP,Username,Action,Status
2025-10-01 08:31:00,56.118.90.203,91.107.71.19,helen,logout,success
2025-10-01 05:08:00,81.151.21.82,233.34.111.183,david,port_scan,success
2025-10-01 16:29:00,241.203.66.82,84.246.172.155,alice,file_access,failure
2025-10-01 23:37:00,21.76.142.99,60.250.235.68,eva,login,success
2025-10-01 04:57:00,225.77.33.210,122.90.234.6,alice,logout,success
2025-10-01 22:10:00,95.117.52.200,15.150.17.228,grace,login,success
2025-10-01 13:53:00,228.132.133.105,115.166.10.217,helen,logout,success
2025-10-01 15:20:00,6.232.143.86,213.18.157.141,helen,failed_login,failure
2025-10-01 06:13:00,198.165.252.158,158.239.47.19,bob,login,failure
2025-10-01 01:53:00,195.162.148.58,182.190.171.240,charlie,password_change,failure
2025-10-01 00:17:00,146.102.215.143,157.195.248.195,frank,file_access,success
2025-10-01 15:27:00,112.90.60.69,185.187.164.244,alice,password_change,success
2025-10-01 04:13:00,52.117.189.233,244.221.109.217,frank,file_access,success
2025-10-01 10:56:00,59.239.184.147,4.18.29.131,frank,failed_login,success
2025-10-01 08:26:00,163.132.103.247,51.189.237.18,alice,failed_login,failure
2025-10-01 17:42:00,186.55.75.232,223.48.210.219,helen,port_scan,failure
2025-10-01 22:38:00,225.31.248.5,2.93.152.51,eva,password_change,success
2025-10-01 08:55:00,8.136.113.43,1.98.109.67,grace,password_change,failure
2025-10-01 10:32:00,3.226.247.105,98.118.198.112,david,login,failure
2025-10-01 13:58:00,99.151.155.240,69.107.248.59,david,logout,failure
2025-10-01 12:13:00,128.14.116.119,245.186.147.199,charlie,failed_login,success
2025-10-01 16:29:00,247.74.16.50,251.43.244.202,alice,login,success
2025-10-01 05:36:00,175.138.237.227,66.70.239.20,grace,login,failure
2025-10-01 18:02:00,140.183.169.153,44.201.138.28,charlie,port_scan,success
2025-10-01 22:23:00,152.222.39.122,85.99.170.185,bob,password_change,success
2025-10-01 14:53:00,54.251.25.206,238.103.59.89,charlie,file_access,failure
2025-10-01 09:50:00,157.251.151.45,141.232.16.195,charlie,file_access,failure
2025-10-01 03:35:00,210.224.174.162,253.22.74.232,grace,password_change,success
2025-10-01 09:32:00,135.17.41.1,45.110.21.238,bob,password_change,success
2025-10-01 19:57:00,5.242.183.197,75.211.30.33,helen,failed_login,failure
2025-10-01 18:04:00,67.66.116.220,195.147.100.11,charlie,file_access,success
2025-10-01 10:15:00,48.217.38.43,39.219.35.157,grace,password_change,failure
2025-10-01 00:54:00,86.40.189.175,213.76.147.21,david,logout,failure
2025-10-01 12:25:00,13.221.205.235,253.93.187.29,helen,login,failure
2025-10-01 06:32:00,83.233.217.61,72.124.82.118,helen,login,success
2025-10-01 07:49:00,252.73.11.203,18.205.104.189,frank,password_change,success
2025-10-01 12:58:00,230.212.101.143,254.208.255.222,frank,logout,success
2025-10-01 06:28:00,144.201.0.185,244.85.94.193,frank,logout,success
2025-10-01 05:59:00,150.112.140.117,87.29.237.55,charlie,login,success
2025-10-01 15:45:00,243.241.197.1,187.38.178.252,frank,port_scan,failure
2025-10-01 07:13:00,101.188.91.105,194.184.105.183,eva,logout,failure
2025-10-01 03:16:00,38.24.235.230,73.195.244.208,david,login,failure
2025-10-01 07:25:00,134.106.250.216,204.198.123.107,eva,failed_login,success
2025-10-01 23:04:00,2.177.119.0,96.221.75.167,helen,port_scan,success
2025-10-01 02:27:00,153.137.71.230,217.192.84.58,bob,login,success
2025-10-01 02:21:00,83.63.233.180,114.146.51.23,helen,password_change,failure
2025-10-01 13:16:00,26.84.207.77,157.34.162.239,charlie,logout,failure
2025-10-01 13:08:00,70.67.184.122,27.83.147.171,helen,password_change,failure
2025-10-01 01:55:00,12.138.64.178,31.61.24.144,bob,password_change,success
2025-10-01 12:01:00,162.254.239.113,197.82.115.151,bob,failed_login,success
2025-10-01 04:11:00,23.82.155.134,218.109.250.232,david,failed_login,failure
2025-10-01 10:43:00,38.227.192.128,207.150.185.12,eva,login,success
2025-10-01 23:16:00,70.82.122.57,104.135.252.142,alice,file_access,failure
2025-10-01 03:12:00,195.47.26.165,16.150.65.152,helen,password_change,success
2025-10-01 19:30:00,238.167.68.34,61.117.234.19,alice,file_access,success
2025-10-01 04:50:00,98.55.118.42,12.113.208.211,bob,login,failure
2025-10-01 16:15:00,181.64.47.244,71.158.200.130,david,password_change,success
2025-10-01 06:43:00,202.254.33.144,242.171.15.70,helen,logout,failure
2025-10-01 13:49:00,214.25.158.174,239.116.192.208,eva,failed_login,failure
2025-10-01 05:54:00,209.114.63.246,16.35.251.204,alice,login,failure
2025-10-01 19:15:00,121.56.13.98,232.51.61.205,helen,login,success
2025-10-01 09:05:00,84.173.121.109,202.211.214.245,eva,port_scan,success
2025-10-01 12:36:00,99.20.166.212,180.8.168.192,frank,login,failure
2025-10-01 09:15:00,118.33.79.158,107.106.236.190,grace,failed_login,failure
2025-10-01 20:42:00,25.146.66.54,53.244.126.190,helen,port_scan,success
2025-10-01 12:19:00,240.222.146.2,51.111.68.66,alice,file_access,success
2025-10-01 00:01:00,183.102.4.108,170.16.178.235,charlie,failed_login,failure
2025-10-01 23:18:00,80.84.83.87,134.182.238.144,frank,password_change,failure
2025-10-01 01:33:00,184.202.9.72,50.207.199.33,david,logout,failure
2025-10-01 12:37:00,145.156.45.44,75.210.88.45,alice,password_change,success
2025-10-01 19:51:00,112.181.116.52,93.133.89.157,david,failed_login,success
2025-10-01 16:50:00,204.249.150.162,21.209.82.146,helen,failed_login,failure
2025-10-01 13:07:00,111.100.44.106,93.168.175.74,frank,failed_login,success
2025-10-01 16:06:00,41.126.109.130,143.62.76.33,helen,login,failure
2025-10-01 05:54:00,163.245.7.15,53.16.128.146,frank,failed_login,failure
