source_ip,total_activity_count,failed_login_events,port_scan_events,port_scan_unique_targets,failed_login,file_access,login,logout,password_change,port_scan
226.8.103.235,1,0,0,0,0,0,0,1,0,0
228.132.133.105,1,0,0,0,0,0,0,1,0,0
230.212.101.143,1,0,0,0,0,0,0,1,0,0
238.167.68.34,1,0,0,0,0,1,0,0,0,0
239.22.215.173,1,0,0,0,0,1,0,0,0,0
240.222.146.2,1,0,0,0,0,1,0,0,0,0
241.203.66.82,1,0,0,0,0,1,0,0,0,0
243.39.152.98,1,0,0,0,0,0,0,1,0,0
244.167.191.214,1,0,0,0,0,0,1,0,0,0
244.176.50.125,1,0,0,0,0,1,0,0,0,0
246.239.250.118,1,0,0,0,0,0,1,0,0,0
247.74.16.50,1,0,0,0,0,0,1,0,0,0
25.128.126.45,1,0,0,0,0,1,0,0,0,0
252.118.224.22,1,0,0,0,0,0,0,1,0,0
252.218.41.254,1,0,0,0,0,1,0,0,0,0
252.73.11.203,1,0,0,0,0,0,0,0,1,0
254.133.153.170,1,0,0,0,0,1,0,0,0,0
254.48.124.110,1,0,0,0,0,1,0,0,0,0
255.249.175.215,1,0,0,0,0,0,1,0,0,0
26.66.56.182,1,0,0,0,0,0,1,0,0,0
26.84.207.77,1,0,0,0,0,0,0,1,0,0
3.226.247.105,1,0,0,0,0,0,1,0,0,0
34.163.201.106,1,0,0,0,0,0,0,1,0,0
34.86.193.149,1,0,0,0,0,0,0,0,1,0
38.227.192.128,1,0,0,0,0,0,1,0,0,0
38.24.235.230,1,0,0,0,0,0,1,0,0,0
40.213.209.127,1,0,0,0,0,1,0,0,0,0
41.126.109.130,1,0,0,0,0,0,1,0,0,0
45.234.31.101,1,0,0,0,0,0,1,0,0,0
48.217.38.43,1,0,0,0,0,0,0,0,1,0
49.49.218.25,1,0,0,0,0,0,0,1,0,0
51.197.236.254,1,0,0,0,0,0,0,0,1,0
52.117.189.233,1,0,0,0,0,1,0,0,0,0
54.251.25.206,1,0,0,0,0,1,0,0,0,0
56.118.90.203,1,0,0,0,0,0,0,1,0,0
56.34.172.151,1,0,0,0,0,1,0,0,0,0
58.74.19.148,1,0,0,0,0,0,0,1,0,0
60.156.128.90,1,0,0,0,0,0,1,0,0,0
64.127.55.155,1,0,0,0,0,0,1,0,0,0
66.59.218.95,1,0,0,0,0,0,1,0,0,0
67.143.53.255,1,0,0,0,0,0,0,1,0,0
67.66.116.220,1,0,0,0,0,1,0,0,0,0
68.198.226.220,1,0,0,0,0,0,1,0,0,0
7.71.32.63,1,0,0,0,0,0,0,0,1,0
70.67.184.122,1,0,0,0,0,0,0,0,1,0
70.82.122.57,1,0,0,0,0,1,0,0,0,0
73.241.146.236,1,0,0,0,0,0,0,0,1,0
79.159.226.163,1,0,0,0,0,0,0,1,0,0
8.124.206.206,1,0,0,0,0,0,0,0,1,0
8.136.113.43,1,0,0,0,0,0,0,0,1,0
80.84.83.87,1,0,0,0,0,0,0,0,1,0
83.233.217.61,1,0,0,0,0,0,1,0,0,0
83.63.233.180,1,0,0,0,0,0,0,0,1,0
85.104.246.99,1,0,0,0,0,0,1,0,0,0
85.146.46.242,1,0,0,0,0,0,0,0,1,0
86.40.189.175,1,0,0,0,0,0,0,1,0,0
93.227.27.105,1,0,0,0,0,0,1,0,0,0
95.117.52.200,1,0,0,0,0,0,1,0,0,0
97.238.181.105,1,0,0,0,0,0,0,0,1,0
98.45.180.237,1,0,0,0,0,0,0,0,1,0
98.55.118.42,1,0,0,0,0,0,1,0,0,0
99.151.155.240,1,0,0,0,0,0,0,1,0,0
99.20.166.212,1,0,0,0,0,0,1,0,0,0
99.77.233.14,1,0,0,0,0,0,0,0,1,0
